x,y,predicted,loss,w,b,
2004.000000,3359.839973,2004.500000,-1355.339973,1.271610,0.500136,
2005.000000,3478.218393,2550.078447,-928.139946,1.457702,0.500228,
2006.000000,3711.406990,2924.650821,-786.756169,1.615525,0.500307,
2007.000000,4214.205560,3242.859940,-971.345620,1.810475,0.500404,
2008.000000,4228.791063,3635.933287,-592.857776,1.929520,0.500463,
2009.000000,3867.851602,3876.906916,9.055314,1.927701,0.500463,
2010.000000,4327.927257,3875.179818,-452.747439,2.018703,0.500508,
2011.000000,4391.454370,4060.113060,-331.341310,2.085336,0.500541,
2012.000000,4546.196727,4196.196864,-349.999863,2.155756,0.500576,
2013.000000,4896.303054,4340.037640,-556.265414,2.267732,0.500632,
2014.000000,5627.113754,4567.713574,-1059.400180,2.481096,0.500738,
2015.000000,5936.608344,4999.908253,-936.700091,2.669841,0.500831,
2016.000000,6639.413952,5382.899500,-1256.514452,2.923154,0.500957,
2004.000000,3359.839973,5858.501419,2498.661446,2.422422,0.500707,
2005.000000,3478.218393,4857.457157,1379.238764,2.145885,0.500569,
2006.000000,3711.406990,4305.145472,593.738482,2.026781,0.500510,
2007.000000,4214.205560,4068.249691,-145.955869,2.056074,0.500524,
2008.000000,4228.791063,4129.097519,-99.693544,2.076093,0.500534,
2009.000000,3867.851602,4171.370697,303.519095,2.015116,0.500504,
2010.000000,4327.927257,4050.883017,-277.044240,2.070802,0.500532,
2011.000000,4391.454370,4164.882490,-226.571880,2.116365,0.500554,
2012.000000,4546.196727,4258.627287,-287.569440,2.174224,0.500583,
2013.000000,4896.303054,4377.213790,-519.089264,2.278717,0.500635,
2014.000000,5627.113754,4589.836301,-1037.277453,2.487624,0.500739,
2015.000000,5936.608344,5013.064095,-923.544249,2.673719,0.500831,
2016.000000,6639.413952,5390.717651,-1248.696301,2.925456,0.500956,
2004.000000,3359.839973,5863.114449,2503.274476,2.423800,0.500706,
2005.000000,3478.218393,4860.218964,1382.000571,2.146709,0.500567,
2006.000000,3711.406990,4306.797850,595.390860,2.027273,0.500508,
2007.000000,4214.205560,4069.237638,-144.967922,2.056368,0.500522,
2008.000000,4228.791063,4129.687810,-99.103253,2.076268,0.500532,
2009.000000,3867.851602,4171.723154,303.871552,2.015220,0.500502,
2010.000000,4327.927257,4051.093324,-276.833933,2.070864,0.500530,
2011.000000,4391.454370,4165.007893,-226.446477,2.116402,0.500552,
2012.000000,4546.196727,4258.702013,-287.494714,2.174246,0.500581,
2013.000000,4896.303054,4377.258288,-519.044766,2.278730,0.500633,
2014.000000,5627.113754,4589.862781,-1037.250973,2.487632,0.500737,
2015.000000,5936.608344,5013.079842,-923.528502,2.673723,0.500829,
2016.000000,6639.413952,5390.727009,-1248.686943,2.925459,0.500954,
2004.000000,3359.839973,5863.119971,2503.279998,2.423801,0.500703,
2005.000000,3478.218393,4860.222269,1382.003876,2.146710,0.500565,
2006.000000,3711.406990,4306.799827,595.392837,2.027274,0.500506,
2007.000000,4214.205560,4069.238820,-144.966740,2.056369,0.500520,
2008.000000,4228.791063,4129.688516,-99.102547,2.076268,0.500530,
2009.000000,3867.851602,4171.723576,303.871974,2.015220,0.500500,
2010.000000,4327.927257,4051.093576,-276.833681,2.070864,0.500527,
2011.000000,4391.454370,4165.008043,-226.446327,2.116402,0.500550,
2012.000000,4546.196727,4258.702103,-287.494624,2.174246,0.500579,
2013.000000,4896.303054,4377.258342,-519.044712,2.278730,0.500631,
2014.000000,5627.113754,4589.862813,-1037.250941,2.487632,0.500734,
2015.000000,5936.608344,5013.079861,-923.528483,2.673723,0.500827,
2016.000000,6639.413952,5390.727020,-1248.686932,2.925459,0.500952,
2004.000000,3359.839973,5863.119977,2503.280004,2.423801,0.500701,
2005.000000,3478.218393,4860.222273,1382.003880,2.146710,0.500563,
2006.000000,3711.406990,4306.799830,595.392840,2.027274,0.500504,
2007.000000,4214.205560,4069.238822,-144.966738,2.056369,0.500518,
2008.000000,4228.791063,4129.688517,-99.102546,2.076268,0.500528,
2009.000000,3867.851602,4171.723576,303.871974,2.015220,0.500498,
2010.000000,4327.927257,4051.093576,-276.833681,2.070864,0.500525,
2011.000000,4391.454370,4165.008043,-226.446327,2.116402,0.500548,
2012.000000,4546.196727,4258.702103,-287.494624,2.174246,0.500577,
2013.000000,4896.303054,4377.258342,-519.044712,2.278730,0.500629,
2014.000000,5627.113754,4589.862813,-1037.250941,2.487632,0.500732,
2015.000000,5936.608344,5013.079861,-923.528483,2.673723,0.500825,
2016.000000,6639.413952,5390.727020,-1248.686932,2.925459,0.500950,
